tech_id,bottleneck_id,tech_name,principle,trl,trl_basis,developers,decisive_milestone,remaining_hard_problems,commercialization_from,commercialization_to,commercialization_reasoning,failure_scenario,attacks_axis,depends_on,modality_scope,evidence_ids,notes
T-069,B14,"Universal nucleic acid synthesis order screening (SecureDNA, IBBIS Common Mechanism)","Screen every synthesis order against sequences of concern using a sliding window narrow enough to catch fragmented orders, and verify the customer, so that the physical chokepoint between a digital design and a biological agent is monitored without depending on each provider building its own system.",7,"Operating screening systems are deployed by providers, a federal framework sets a 200-nucleotide window tightening to 50 nucleotides by October 2026, and free open-source tooling is available; demonstrated in the operational environment with coverage gaps outside participating providers. [E-8072][E-8073][E-8074]",SecureDNA Foundation; International Biosecurity and Biosafety Initiative for Science; U.S. OSTP; NIST; International Gene Synthesis Consortium members,"An independent audit reports the share of global commercial synthesis capacity subject to screening, and that share exceeds ninety percent; checkable by 2029.","Screening covers only participating providers, and benchtop synthesisers plus non-participating jurisdictions fall outside; and any list-based approach is definitionally blind to agents not on the list.",2024,2027,Deployment is underway with a fixed regulatory milestone in October 2026; broad coverage is a compliance and diplomacy timeline rather than a technical one.,"Screening becomes near-universal among reputable providers while synthesis capacity migrates to unscreened benchtop devices and non-participating jurisdictions, so measured coverage rises and actual risk does not fall.",T,,modality-agnostic; applies to synthetic nucleic acids,E-8072;E-8073;E-8074,"LOW-VALUE FLAG for drug development throughput: B14 elasticity point is 0.1, the lowest in the matrix. High societal value, negligible effect on approvals per year"
T-070,B14,AI-resilient screening against generative protein redesign (Paraphrase Project patches),"Red-team screening algorithms with AI-designed variants that preserve a toxin's structure while altering its sequence, find where the screen fails, and patch the detection logic to be structure-aware rather than sequence-similarity-based.",6,"Published in Science in October 2025 following a ten-month confidential cross-sector effort, with patches reported as adopted globally; demonstrated in the operational environment, with the durability of the patches against the next model generation unknown. [E-8075]",Microsoft Research; SecureDNA; IBBIS; International Gene Synthesis Consortium; participating protein design tool developers,A repeat red-team exercise against a subsequent generation of protein design models reports a materially lower evasion rate than the original exercise; checkable by 2029.,"The defence is reactive by construction: each patch addresses the evasion strategies of the models that existed when it was written, and generative design capability is improving faster than screening logic is updated. Structure-aware screening also raises false positives against benign engineered proteins.",2025,2029,"Patches are deployed now; the meaningful question is the update cadence relative to model releases, which is an ongoing operational commitment rather than a product.","The patch-and-evade cycle runs permanently with the defenders one model generation behind, and screening provides assurance that is increasingly nominal.",T,,modality-agnostic,E-8075,
T-071,B14,Tiered structured access and frontier model biological capability evaluations,"Evaluate a model's uplift on biological misuse tasks before release, and gate access to the most capable systems through vetted programmes rather than open release, with a tiered protocol governing who learns what about the evaluation results.",5,"Biosecurity evaluations appear in model cards and risk frameworks across frontier laboratories, and the Frontier Model Forum has published preliminary reporting tiers; validated in a relevant environment but voluntary, unstandardised and without external verification. [E-8076]","Frontier Model Forum; Anthropic, Google DeepMind, OpenAI, Meta and xAI; RAND; SecureBio; national AI safety institutes","An externally verifiable, standardised biological capability evaluation is run by a third party on at least three frontier models with comparable published results; checkable by 2029.","Evaluations measure uplift relative to a baseline of what a determined actor could achieve without the model, and that baseline is itself unmeasured and contested; and open-weight releases make access gating unenforceable once a capable model is public.",2026,2031,The evaluation practice exists and is being standardised; external verification requires institutional arrangements that are being negotiated now.,"Evaluations remain self-administered and self-reported, open-weight models at comparable capability are released regardless, and structured access provides governance theatre without changing the accessible capability frontier.",T,,modality-agnostic; protein and nucleic acid design tools,E-8076,
T-072,B15,Minimal residual disease as a qualified intermediate endpoint for accelerated approval,"Measure residual malignant cells at a defined sensitivity threshold at a fixed timepoint after treatment, and use negativity as an intermediate endpoint reasonably likely to predict clinical benefit, so that a trial reads out in months rather than in the years that progression-free survival requires.",8,"An FDA advisory committee voted 12-0 in favour in April 2024 and FDA issued draft guidance in January 2026 specifying timepoints and assay sensitivity; in real-world regulatory use, short of a completed approval on this basis with confirmatory data. [E-8077][E-8102]",FDA Oncology Center of Excellence; EVIDENCE and i2TEAMM meta-analysis consortia; Sylvester Comprehensive Cancer Center; Adaptive Biotechnologies and flow cytometry assay providers; International Myeloma Working Group,A myeloma drug receives accelerated approval with MRD negativity as the primary endpoint and the confirmatory trial subsequently verifies clinical benefit; checkable by 2031 from approval and confirmatory readouts.,Surrogacy is established at trial level for myeloma and does not automatically transfer to other haematological malignancies or to solid tumours; assay standardisation across flow cytometry and sequencing platforms at 10^-5 sensitivity is not complete; and MRD negativity depth may reflect treatment intensity rather than durable benefit.,2026,2030,"Draft guidance is issued and sponsors are designing to it now; the first accelerated approvals on this endpoint should occur within a few years, with confirmatory verification later.","Confirmatory trials show that MRD-negative patients on the new agent do not have better overall survival, discrediting the endpoint and triggering withdrawal of accelerated approvals granted on it.",T;P,,"haematological malignancy; small molecule, biologics, cell therapy",E-8077;E-8102,the clearest recent example of an endpoint technology that shortens trials without weakening the causal chain - if surrogacy holds
T-073,B15,Circulating tumour DNA as an intermediate endpoint in solid tumours,"Track tumour-derived DNA fragments in plasma as a quantitative measure of tumour burden that changes within weeks of treatment, so that an early molecular response can substitute for a radiographic or survival endpoint measured over years.",5,"A collaborative project reports evidence supporting ctDNA as a candidate intermediate endpoint in non-small-cell lung cancer, with meta-analytic work ongoing; validated in a relevant environment without regulatory qualification for any solid tumour. [E-8079]","Friends of Cancer Research ctMoniTR project; FDA Oncology Center of Excellence; Natera, Guardant Health and Foundation Medicine as assay providers; academic consortium partners",FDA accepts ctDNA response as the primary endpoint supporting an accelerated approval in a solid tumour; checkable by 2031.,"Shedding varies by tumour type, site and burden, so ctDNA-undetectable does not mean tumour-free in low-shedding disease; tumour-informed and tumour-naive assays are not interchangeable; and the relationship between molecular response depth and survival differs by mechanism of action.",2029,2035,The myeloma MRD precedent took roughly a decade of meta-analytic work from concept to advisory committee; ctDNA in solid tumours is at an earlier stage of that same process.,Trial-level surrogacy fails to hold across mechanisms - ctDNA clearance tracks cytotoxic effect but not immunotherapy benefit - so no general qualification is possible and the endpoint stays a per-programme negotiation.,T;P,B10,solid tumour oncology; all therapeutic modalities,E-8079;E-8077,
T-074,B15,Wearable-derived digital primary endpoints (stride velocity 95th centile),"Continuously measure a physical performance variable in the participant's own environment with a validated sensor, and define the endpoint as a robust statistic of that continuous stream, so that the measurement is more sensitive to change and less dependent on a single supervised clinic assessment.",7,EMA qualified stride velocity 95th centile in July 2023 as a primary endpoint for Duchenne muscular dystrophy in patients aged four and over - the first such qualification - while FDA has qualified zero sensor-derived endpoints despite wearables appearing in over a thousand trials. [E-8078][E-8080],Sysnav; Institut de Myologie and Laurent Servais group; EMA qualification team; Duchenne patient organisations; FDA COA qualification programme,"FDA issues a qualification decision for a wearable-derived endpoint, or a US approval is granted with a sensor-derived primary endpoint; checkable by 2029 from the FDA DDT qualification list.","Qualification is device-specific because precision requirements are device-specific, so the endpoint does not generalise across sensors and creates single-supplier dependency; and behavioural change from being monitored confounds real-world performance measures.",2023,2029,"One endpoint is qualified in the EU now; FDA qualification is under review, and the EMA precedent plus the existing evidentiary package is the fastest available route.","The endpoint remains a one-off: each new disease and each new sensor requires a full qualification package costing years and millions, so the count of qualified digital endpoints stays in single digits through the decade - which is exactly what the record to date shows.",T;P,B5,neuromuscular disease initially; extensible to any disease with a motor endpoint,E-8078;E-8080,"the gap between 1,021 trials using wearables and zero FDA-qualified endpoints is the single most informative number in this bottleneck"
T-075,B15,Cross-indication digital mobility biomarkers (real-world walking speed),"Define a physiologically fundamental, disease-agnostic measure such as real-world walking speed and qualify it once across many indications, so that the per-indication qualification cost that has limited digital endpoints to single instances is amortised.",4,A 2026 systematic review assesses the evidence and regulatory status of real-world walking speed as a cross-indication outcome measure; the concept is validated in the literature without any regulatory qualification. [E-8101][E-8080],Mobilise-D consortium (IMI); academic digital mobility groups; EMA qualification advice pathway; wearable sensor manufacturers,A regulator qualifies a digital mobility measure with a context of use spanning more than one disease area; checkable by 2031 from EMA and FDA qualification records.,"Cross-indication qualification requires demonstrating that the same measurement means the same thing clinically in different diseases, which is a stronger claim than any single-indication qualification and has no precedent; and the minimal clinically important difference differs by population.",2029,2036,"Single-indication qualification took roughly a decade for stride velocity; a cross-indication claim is a strictly harder evidentiary problem, so a later window follows.","Regulators decline cross-indication qualification on the reasonable ground that clinical meaning is disease-specific, and the field remains locked into per-indication qualification economics.",T;P,B5,any disease with a mobility component,E-8101;E-8080,
T-076,B15,"Drug development tool qualification pathways as institutional infrastructure (DDT, COA, ISTAND)","Provide a formal, published route by which a biomarker, outcome assessment or novel methodology can be qualified once for a stated context of use and then reused by any sponsor, converting per-programme negotiation into shared infrastructure.",7,"The programmes operate, accept submissions and publish decisions, and ISTAND has accepted novel methodology submissions; demonstrated in the operational environment, with very low throughput relative to demand. [E-8003][E-8078][E-8080]",FDA CDER Drug Development Tool qualification programmes; EMA qualification of novel methodologies; Critical Path Institute consortia; C-Path and Friends of Cancer Research as submission aggregators,The annual number of completed qualifications across DDT programmes rises materially above its historical single-digit rate for three consecutive years; checkable by 2030 from FDA programme records.,"Qualification requires a sponsor or consortium to fund evidence generation for a tool that will then be free to competitors, which is a classic public goods problem; and review capacity for qualification submissions competes with product review capacity within the same agency.",2026,2033,"The pathways exist now; increasing throughput requires either dedicated review resourcing or a consortium funding model, neither of which is currently in place.","Throughput stays at a handful of qualifications per year because no one will pay for a public good, and the pathway remains a theoretical route that almost nobody uses - the zero-qualified-wearable-endpoint record being the evidence.",T;P,B5;B11,all modalities,E-8003;E-8078;E-8080,the public goods problem here is a B11 problem wearing a B15 costume
T-077,B16,"Machine-readable study definitions (CDISC USDM, Digital Data Flow, 360i)","Represent the protocol as structured data - objectives, endpoints, eligibility, schedule of activities, and their links to biomedical concepts - so that the EDC build, the site training materials, the registry entry and the statistical analysis plan are generated from one source rather than re-keyed from a document.",5,"USDM v4 exists, 360i Phase 2 reference implementations run through 2026, and the SOA Workbench emits machine-readable JSON, while about 90 percent of protocols remain unstructured documents; validated in a relevant environment without production adoption. [E-8081][E-8082][E-8103]",CDISC; TransCelerate BioPharma; sponsor clinical data standards groups; EDC and CTMS vendors; ACDM community,"A sponsor runs a pivotal trial in which the EDC build, site materials and registry entry are all generated from a single USDM source with no manual re-keying, and reports the study build time; checkable by 2030.","The standard must be expressive enough for adaptive and platform designs while staying machine-checkable, and those goals conflict; and the value only materialises when every downstream system consumes the standard, which is a coordination problem across dozens of vendors.",2027,2033,"Specifications complete in 2026, vendor implementation follows one to three years, sponsor migration another two to four; the compounding of these stages puts routine use in the early 2030s.","Sponsors author the PDF first and export a structured file afterwards, so the structured artefact is a derived, unreliable copy and downstream systems continue to rebuild from the document.",T;C,B5,all modalities,E-8081;E-8082;E-8103,
T-078,B16,LLM protocol authoring and automated schedule-of-activities generation,"Use a language model that can interpret clinical prose to convert an existing protocol into structured objects, and to draft new protocol sections against a template and a precedent library, so that the authoring and digitisation step stops being months of manual work.",4,Industry reporting from mid-2026 attributes newly feasible protocol digitisation to the convergence of capable language models with the USDM standard and validated environments; the capability is demonstrated but not shown in production use for a regulatory submission. [E-8103][E-8081],Protocol digitisation vendors presenting at DIA 2026; CDISC; sponsor clinical development operations groups; foundation model providers,"A sponsor submits a protocol to a regulator that was authored through an LLM-plus-USDM pipeline, with the authoring provenance disclosed, and the review proceeds without protocol-clarity information requests; checkable by 2029.","Protocol ambiguity is often deliberate - it preserves operational flexibility - so forcing full structure surfaces disagreements the team had not resolved; and a hallucinated eligibility criterion or visit window is a patient safety issue, requiring verification that consumes the time saved.",2027,2031,"The capability exists now and the standard lands in 2026; production use requires validation under GxP computerised system expectations, which typically adds two to three years.","Every generated protocol requires full human review at the same care level as writing it, because the failure mode is a subtly wrong inclusion criterion, so no time is saved.",T;C,B5;B13,all modalities,E-8103;E-8081,
T-079,B16,AI-generated digital twins for prognostic covariate adjustment (PROCOVA),"Forecast each participant's control-arm trajectory from their baseline data using a model trained on historical control data, and enter that forecast as a prespecified covariate, so that outcome variance attributable to baseline prognosis is removed and the same power is achieved with fewer participants.",7,"Received a positive EMA qualification opinion in September 2022 as an acceptable statistical approach for primary analysis of Phase 2 and 3 trials with continuous endpoints; demonstrated in the operational regulatory environment, with the size of the real-world benefit contested. [E-8040][E-8104]",Unlearn.AI; EMA Scientific Advice Working Party; Alzheimer's disease consortium data holders; academic biostatisticians developing PROCOVA-MMRM,"A pivotal trial that prespecified PROCOVA reports its actual achieved variance reduction against the prespecified assumption, in a peer-reviewed publication; checkable by 2029.","The benefit is bounded by how much outcome variance baseline covariates can explain, which in many diseases is modest, so the 10-30 percent range may not transfer; the method needs a large, relevant historical control dataset which does not exist for novel indications; and it applies to continuous endpoints, excluding time-to-event and binary outcomes that dominate oncology.",2023,2029,Qualified since 2022 and available now; the window covers accumulation of enough prespecified uses to establish the realised effect size.,"Realised variance reduction in prospective trials falls well short of the retrospective simulations, and sponsors conclude the regulatory novelty risk is not worth a single-digit percentage saving.",T;C,B10,"continuous-endpoint indications: neurology, cardiology, metabolic",E-8040;E-8104,also relieves B4; excluded from oncology by endpoint type
T-080,B16,eSource and direct EHR-to-EDC data capture,"Pull data that already exist in the electronic health record directly into the trial database with provenance preserved, so that the transcription step - and the source data verification built to catch transcription errors - is eliminated rather than monitored.",6,"Standards and vendor implementations exist and ICH E6(R3) explicitly accommodates data-driven oversight, but adoption is limited and no large-scale demonstration of monitoring cost reduction is published; validated in a relevant environment. [E-8048][E-8081]",CDISC; HL7 FHIR community; Vulcan accelerator; EDC vendors; academic medical centre informatics groups; ICH E6(R3) drafters,"A multi-site pivotal trial reports the share of case report form fields populated directly from EHR without manual entry, exceeding half, together with the monitoring cost per site; checkable by 2030.","EHR data are recorded for care and lack the precision, timing and units that protocols specify, so most fields need transformation whose correctness must itself be verified; and site-by-site EHR configuration heterogeneity means integration is a per-site project, not a per-protocol one.",2027,2033,"Standards are mature and E6(R3) is final, but per-site integration cost means adoption scales slowly with the number of integrated sites rather than with sponsor intent.","Per-site integration cost exceeds the monitoring savings for all but the largest and longest trials, so eSource stays confined to a few mega-trials at integrated health systems.",T;C,B5;B3,all modalities,E-8048;E-8081,
T-081,B16,Risk-based quality management under ICH E6(R3),"Replace uniform 100 percent source data verification and fixed monitoring visits with a prospective identification of the few data and processes that actually matter to participant safety and result reliability, and concentrate oversight there, so that operational effort scales with risk rather than with data volume.",7,"ICH E6(R3) core principles and Annex 1 reached final status in September 2025 and were adopted by FDA, making risk-based quality management the governing expectation; operating in the real environment, with Annex 2 still in draft. [E-8048]",ICH E6 expert working group; FDA and EMA GCP inspectorates; TransCelerate risk-based monitoring initiative; sponsor quality organisations; clinical research organisations,"Inspection findings data or an industry survey shows a sustained fall in monitoring visits and source data verification percentage across sponsors, without a rise in critical inspection findings; checkable by 2030.","Risk-based approaches require the sponsor to correctly identify critical-to-quality factors in advance, and getting that wrong is only discovered at inspection; and the conservative default of full verification persists because no organisation is rewarded for the deviations it did not find.",2025,2030,The guideline is final and adopted now; behavioural change in sponsor and CRO quality organisations historically lags guideline adoption by three to five years.,"Sponsors adopt the language of risk-based quality management while retaining full source data verification as an internal standard, so cost is unchanged and a new documentation layer is added.",T;C,B13,all modalities,E-8048,
